
COPY ss_cat_neighbor_store (store_id, store_desc, area_id) FROM stdin;
806	LOS MOCHIS	K6621
807	OBREGON I	K6621
808	OBREGON II	K6621
809	HERMOSILLO II	K4105
810	KFC ENSENADA	K4104
811	EL FLORIDO. TIJUANA	K4103
812	INSURGENTES. TIJUANA	K4104
813	HERMOSILLO III	K4105
814	KFC TEHERAN. TIJUANA	K4103
815	MEXICALI VILANOVA	K4403
816	KFC NUEVO MEXICALLI	K4403
817	5 Y 10 TIJUANA B.C.	K4104
818	KFC CALLE NOVENA. TIJ.	K4104
819	KFC CABALLITO MEXICALI	K5101
820	KFC CENTRO CIVICO	K5101
821	TECATE	K4701
822	KFC HERMOSILLO SUR	K4105
823	NOGALES	K4105
824	PLAZA CACHANILLA	K4403
\.

